word,file,word_id,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_sound.keys,key_resp_sound.rt,inputText,key_resp_type.keys,key_resp_type.rt,key_resp_2.keys,key_resp_2.rt,expName,participant,handedness,frameRate,sex,session,date,
,,,,,,,,,,,space,1.24354696274,,,,,,,,,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
,,,,,,,,,,,,,space,0.350157976151,,,,,,,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
時候,stimuli/154.wav,154,0,0,0,0,,,,,,,,,right,1.18444800377,,['return'],[0.22674798965454102],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
然後,stimuli/489.wav,489,0,1,1,1,,,,,,,,,right,1.00016188622,,['return'],[0.20053911209106445],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
的,stimuli/440.wav,440,0,2,2,2,,,,,,,,,right,0.933531999588,,['return'],[0.2003159523010254],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
變得,stimuli/236.wav,236,0,3,3,3,,,,,,,,,right,0.933610916138,,['return'],[0.2670161724090576],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
出來,stimuli/184.wav,184,0,4,4,4,,,,,,,,,right,0.967166900635,,['return'],[0.23232007026672363],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
就是,stimuli/114.wav,114,0,5,5,5,,,,,,,,,right,0.967159032822,,['return'],[0.19724416732788086],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
就是,stimuli/366.wav,366,0,6,6,6,,,,,,,,,right,0.966454029083,,['return'],[0.2306680679321289],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
啊,stimuli/441.wav,441,0,7,7,7,,,,,,,,,right,0.917168140411,,['return'],[0.18144607543945312],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
以後,stimuli/462.wav,462,0,8,8,8,,,,,,,,,right,0.984045982361,,['return'],[0.16474294662475586],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
說,stimuli/123.wav,123,0,9,9,9,,,,,,,,,right,0.967464923859,,['return'],[0.18115592002868652],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
,,,,,,,,,,,,,,,,,,,,space,0.916928052902,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
聽,stimuli/44.wav,44,,,,,0,0,0,0,,,,,right,1.12939500809,,['return'],[0.534106969833374],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
是,stimuli/14.wav,14,,,,,0,1,1,1,,,,,right,1.91728210449,,"['right', 'return']","[0.4336979389190674, 0.7835180759429932]",,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
個,stimuli/172.wav,172,,,,,0,2,2,2,,,,,right,0.350766897202,,['return'],[0.16343903541564941],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
什麼,stimuli/378.wav,378,,,,,0,3,3,3,,,,,right,0.0673501491547,,['return'],[0.11721587181091309],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
mm,stimuli/289.wav,289,,,,,0,4,4,4,,,,,right,0.0836441516876,,"['right', 'right', 'return']","[0.1486668586730957, 0.33199286460876465, 0.39871788024902344]",,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
字,stimuli/408.wav,408,,,,,0,5,5,5,,,,,right,0.167286872864,,['return'],[0.015941858291625977],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
可是,stimuli/100.wav,100,,,,,0,6,6,6,,,,,right,0.117208957672,,"['right', 'return']","[0.1833949089050293, 0.2833139896392822]",,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
eh,stimuli/333.wav,333,,,,,0,7,7,7,,,,,right,0.0839629173279,,['return'],[0.04568290710449219],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
每,stimuli/320.wav,320,,,,,0,8,8,8,,,,,right,0.133867025375,,['return'],[0.06340312957763672],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
mm,stimuli/38.wav,38,,,,,0,9,9,9,,,,,right,0.0674059391022,,['return'],[0.0771188735961914],,,textInputTest,1,right,59.9304434303,male,1,2017_Nov_13_1904,
